"('date', '')","('open', 'AVXL')","('high', 'AVXL')","('low', 'AVXL')","('close', 'AVXL')","('volume', 'AVXL')"
2024-01-02 00:00:00+00:00,5.900000095367432,6.949999809265137,5.789999961853027,6.045000076293945,9264800
2024-01-03 00:00:00+00:00,6.090000152587891,6.932000160217285,6.0,6.53000020980835,3363000
2024-01-04 00:00:00+00:00,6.590000152587891,6.849999904632568,6.210000038146973,6.289999961853027,2533200
2024-01-05 00:00:00+00:00,6.150000095367432,6.179999828338623,5.940000057220459,6.010000228881836,2444200
2024-01-08 00:00:00+00:00,5.940000057220459,6.559999942779541,5.829999923706055,6.559999942779541,2041900
2024-01-09 00:00:00+00:00,6.460000038146973,6.534999847412109,6.340000152587891,6.409999847412109,1115000
2024-01-10 00:00:00+00:00,6.400000095367432,6.539999961853027,6.190000057220459,6.25,1163200
2024-01-11 00:00:00+00:00,6.199999809265137,6.199999809265137,5.949999809265137,6.010000228881836,1565500
2024-01-12 00:00:00+00:00,6.03000020980835,6.199999809265137,5.909999847412109,5.989999771118164,1365400
2024-01-16 00:00:00+00:00,5.960000038146973,6.011000156402588,5.784999847412109,5.980000019073486,1276500
2024-01-17 00:00:00+00:00,5.869999885559082,6.065000057220459,5.75,6.050000190734863,791200
2024-01-18 00:00:00+00:00,6.099999904632568,6.099999904632568,5.900000095367432,6.010000228881836,730100
2024-01-19 00:00:00+00:00,6.010000228881836,6.099999904632568,5.800000190734863,6.050000190734863,1209900
2024-01-22 00:00:00+00:00,6.090000152587891,6.619999885559082,6.090000152587891,6.599999904632568,1334400
2024-01-23 00:00:00+00:00,6.699999809265137,6.800000190734863,6.46999979019165,6.599999904632568,738700
2024-01-24 00:00:00+00:00,6.730000019073486,6.829999923706055,6.570000171661377,6.579999923706055,849800
2024-01-25 00:00:00+00:00,6.579999923706055,6.729000091552734,6.480000019073486,6.639999866485596,771600
2024-01-26 00:00:00+00:00,6.730000019073486,6.89900016784668,6.309999942779541,6.329999923706055,1022500
2024-01-29 00:00:00+00:00,6.340000152587891,6.818999767303467,6.25,6.75,976900
2024-01-30 00:00:00+00:00,6.670000076293945,6.670000076293945,6.289999961853027,6.289999961853027,1027400
2024-01-31 00:00:00+00:00,6.269999980926514,6.361000061035156,5.96999979019165,5.96999979019165,1046300
2024-02-01 00:00:00+00:00,6.0,6.150000095367432,5.869999885559082,6.150000095367432,810200
2024-02-02 00:00:00+00:00,6.039999961853027,6.110000133514404,5.703000068664551,5.730000019073486,1625600
2024-02-05 00:00:00+00:00,5.690000057220459,5.710000038146973,5.289999961853027,5.360000133514404,1814300
