"('date', '')","('open', 'CDE')","('high', 'CDE')","('low', 'CDE')","('close', 'CDE')","('volume', 'CDE')"
1980-03-17 00:00:00+00:00,125.50938415527344,136.58374158073875,125.50938415527344,125.50938415527344,1875
1980-03-18 00:00:00+00:00,129.20082092285156,140.27517700195312,129.20082092285156,129.20082092285156,1125
1980-03-19 00:00:00+00:00,140.27517700195312,151.3495330810547,140.27517700195312,140.27517700195312,1113
1980-03-20 00:00:00+00:00,143.96661376953125,155.0409686748798,143.96661376953125,143.96661376953125,950
1980-03-21 00:00:00+00:00,143.96661376953125,155.0409686748798,143.96661376953125,143.96661376953125,700
1980-03-24 00:00:00+00:00,129.2008125782013,129.2008125782013,118.12645721435547,118.12645721435547,1038
1980-03-25 00:00:00+00:00,118.12646484375,121.81791687011719,110.74356079101562,110.74356079101562,1063
1980-03-26 00:00:00+00:00,110.74356079101562,118.12646484375,107.05210876464844,107.05210876464844,325
1980-03-27 00:00:00+00:00,95.97776993461277,95.97776993461277,84.90341186523438,84.90341186523438,1263
1980-03-28 00:00:00+00:00,118.12645721435547,129.2008125782013,118.12645721435547,118.12645721435547,1925
1980-03-31 00:00:00+00:00,118.12646484375,121.81791687011719,110.74356079101562,110.74356079101562,838
1980-04-01 00:00:00+00:00,110.74356079101562,121.81791687011719,110.74356079101562,110.74356079101562,438
1980-04-02 00:00:00+00:00,114.43502044677734,125.50937726420742,114.43502044677734,114.43502044677734,350
1980-04-03 00:00:00+00:00,114.43501281738281,118.12646484375,107.05210876464844,107.05210876464844,163
1980-04-07 00:00:00+00:00,107.05210876464844,118.12646484375,107.05210876464844,107.05210876464844,238
1980-04-08 00:00:00+00:00,114.43502044677734,125.50937726420742,114.43502044677734,114.43502044677734,775
1980-04-09 00:00:00+00:00,118.12645721435547,129.2008125782013,118.12645721435547,118.12645721435547,788
1980-04-10 00:00:00+00:00,118.12647271925404,125.50937726420742,114.43502044677734,114.43502044677734,100
1980-04-11 00:00:00+00:00,114.43501281738281,121.81791687011719,110.74356079101562,110.74356079101562,213
1980-04-14 00:00:00+00:00,110.74356079101562,114.43501281738281,103.36065673828125,103.36065673828125,313
1980-04-15 00:00:00+00:00,103.36064030573918,107.05209174522986,95.97773742675781,95.97773742675781,750
1980-04-16 00:00:00+00:00,95.97773742675781,107.05209174522986,95.97773742675781,95.97773742675781,1688
1980-04-17 00:00:00+00:00,95.97773742675781,107.05209174522986,95.97773742675781,95.97773742675781,650
1980-04-18 00:00:00+00:00,95.97773742675781,107.05209174522986,95.97773742675781,95.97773742675781,1375
1980-04-21 00:00:00+00:00,95.97773742675781,107.05209174522986,95.97773742675781,95.97773742675781,563
1980-04-22 00:00:00+00:00,95.97773742675781,107.05209174522986,95.97773742675781,95.97773742675781,438
1980-04-23 00:00:00+00:00,99.66919708251953,107.05210057011358,99.66919708251953,99.66919708251953,1663
1980-04-24 00:00:00+00:00,110.74356079101562,118.12646484375,110.74356079101562,110.74356079101562,1325
1980-04-25 00:00:00+00:00,110.74356079101562,118.12646484375,110.74356079101562,110.74356079101562,750
1980-04-28 00:00:00+00:00,110.74356079101562,114.43501281738281,107.05210876464844,107.05210876464844,1138
1980-04-29 00:00:00+00:00,107.05210876464844,114.43501281738281,107.05210876464844,107.05210876464844,850
1980-04-30 00:00:00+00:00,107.05210876464844,110.74356079101562,103.36065673828125,103.36065673828125,838
1980-05-01 00:00:00+00:00,107.05210876464844,114.43501281738281,107.05210876464844,107.05210876464844,1288
1980-05-02 00:00:00+00:00,108.89783477783203,116.2807388305664,108.89783477783203,108.89783477783203,313
1980-05-05 00:00:00+00:00,112.58928680419922,119.9721908569336,112.58928680419922,112.58928680419922,388
1980-05-06 00:00:00+00:00,112.58928680419922,116.2807388305664,108.89783477783203,108.89783477783203,1038
1980-05-07 00:00:00+00:00,108.89783477783203,114.43501281738281,107.05210876464844,107.05210876464844,900
1980-05-08 00:00:00+00:00,107.05210876464844,114.43501281738281,107.05210876464844,107.05210876464844,388
1980-05-09 00:00:00+00:00,107.05210876464844,114.43501281738281,107.05210876464844,107.05210876464844,475
1980-05-12 00:00:00+00:00,107.05210876464844,108.89783477783203,101.51493072509766,101.51493072509766,750
1980-05-13 00:00:00+00:00,101.51492295441804,107.05210057011358,99.66919708251953,99.66919708251953,450
1980-05-14 00:00:00+00:00,99.66919708251953,107.05210057011358,99.66919708251953,99.66919708251953,675
1980-05-15 00:00:00+00:00,101.51493072509766,108.89783477783203,101.51493072509766,101.51493072509766,463
1980-05-16 00:00:00+00:00,103.36065673828125,110.74356079101562,103.36065673828125,103.36065673828125,438
1980-05-19 00:00:00+00:00,103.36065673828125,110.74356079101562,103.36065673828125,103.36065673828125,250
1980-05-20 00:00:00+00:00,103.36064882631655,107.05210057011358,99.66919708251953,99.66919708251953,750
