"('date', '')","('open', 'AHCO')","('high', 'AHCO')","('low', 'AHCO')","('close', 'AHCO')","('volume', 'AHCO')"
2024-01-02 00:00:00+00:00,7.210000038146973,7.59499979019165,7.090000152587891,7.260000228881836,776400
2024-01-03 00:00:00+00:00,7.150000095367432,7.21999979019165,6.824999809265137,7.010000228881836,1061900
2024-01-04 00:00:00+00:00,7.03000020980835,7.239999771118164,6.940000057220459,7.190000057220459,886600
2024-01-05 00:00:00+00:00,7.119999885559082,7.409999847412109,7.0,7.25,923500
2024-01-08 00:00:00+00:00,6.909999847412109,7.085000038146973,6.730999946594238,7.010000228881836,1496000
2024-01-09 00:00:00+00:00,6.909999847412109,7.070000171661377,6.809999942779541,6.820000171661377,620600
2024-01-10 00:00:00+00:00,6.789999961853027,6.945000171661377,6.710000038146973,6.760000228881836,616900
2024-01-11 00:00:00+00:00,6.840000152587891,7.309999942779541,6.619999885559082,7.230000019073486,1152700
2024-01-12 00:00:00+00:00,7.289999961853027,7.46999979019165,6.860000133514404,6.929999828338623,1011100
2024-01-16 00:00:00+00:00,6.829999923706055,6.934999942779541,6.554999828338623,6.650000095367432,958900
2024-01-17 00:00:00+00:00,6.5,6.679999828338623,6.460000038146973,6.639999866485596,774400
2024-01-18 00:00:00+00:00,6.679999828338623,6.789999961853027,6.579999923706055,6.78000020980835,659400
2024-01-19 00:00:00+00:00,6.829999923706055,6.889999866485596,6.664999961853027,6.869999885559082,579600
2024-01-22 00:00:00+00:00,6.940000057220459,7.230000019073486,6.840000152587891,7.210000038146973,880100
2024-01-23 00:00:00+00:00,7.300000190734863,7.400000095367432,6.985000133514404,7.0,766200
2024-01-24 00:00:00+00:00,7.239999771118164,7.239999771118164,6.815000057220459,6.940000057220459,662000
2024-01-25 00:00:00+00:00,7.099999904632568,7.099999904632568,6.864999771118164,7.079999923706055,523300
2024-01-26 00:00:00+00:00,7.139999866485596,7.360000133514404,7.065000057220459,7.090000152587891,644800
2024-01-29 00:00:00+00:00,7.019999980926514,7.414999961853027,6.724999904632568,7.360000133514404,904300
2024-01-30 00:00:00+00:00,7.269999980926514,7.574999809265137,7.159999847412109,7.260000228881836,798700
2024-01-31 00:00:00+00:00,7.260000228881836,7.630000114440918,7.210000038146973,7.21999979019165,763900
2024-02-01 00:00:00+00:00,7.409999847412109,7.46999979019165,7.190000057220459,7.320000171661377,785800
