"('date', '')","('open', 'CURB')","('high', 'CURB')","('low', 'CURB')","('close', 'CURB')","('volume', 'CURB')"
2024-09-26 00:00:00+00:00,19.99791815543152,19.99791815543152,18.339553466581066,19.36383819580078,156500
2024-09-27 00:00:00+00:00,19.461389541625977,19.89061181454294,19.461389541625977,19.461389541625977,6400
2024-09-30 00:00:00+00:00,19.705267070824856,23.753625869750977,19.705267070824856,23.753625869750977,446300
2024-10-01 00:00:00+00:00,21.363629410159437,22.270852342451157,19.666245349363486,22.046485900878906,5071100
2024-10-02 00:00:00+00:00,21.53922137350309,21.958690204837236,20.807590210190302,21.139263153076172,2944000
2024-10-03 00:00:00+00:00,21.461180603209968,22.309873563925066,21.020251220106555,22.046485900878906,2605400
2024-10-04 00:00:00+00:00,21.822118064308164,23.02199263841417,21.012446376825967,22.86591148376465,2690700
2024-10-07 00:00:00+00:00,22.914688944552942,23.743871342761327,22.641545960250667,23.23660659790039,3371700
2024-10-08 00:00:00+00:00,23.75362342456492,23.75362342456492,22.68056410551071,23.412195205688477,1832100
2024-10-09 00:00:00+00:00,23.412196692024803,24.53403074472415,23.197585558842896,23.646318435668945,1858000
2024-10-10 00:00:00+00:00,23.74386882826263,23.74386882826263,22.675688059966195,23.10978889465332,1411700
2024-10-11 00:00:00+00:00,23.21709613236402,23.21709613236402,22.514730846261102,23.070770263671875,760600
2024-10-14 00:00:00+00:00,22.885420860063444,23.402440861911312,22.363524136026506,22.77811622619629,772300
2024-10-15 00:00:00+00:00,22.729341946451893,23.695096771097624,22.436690209709425,22.758607864379883,760200
2024-10-16 00:00:00+00:00,22.270853101994,22.904933087496246,21.890405482819514,22.58301544189453,903800
2024-10-17 00:00:00+00:00,22.55374926626309,22.70007511676332,22.10501454934369,22.436687469482422,645000
2024-10-18 00:00:00+00:00,22.436688175998277,22.88542104641383,22.290362320890345,22.661054611206055,502300
2024-10-21 00:00:00+00:00,22.709831798173873,22.709831798173873,21.929424113808942,22.309873580932617,263000
2024-10-22 00:00:00+00:00,22.387915489998207,22.690322532034997,21.87089543824197,22.44644546508789,507600
2024-10-23 00:00:00+00:00,22.436687469482422,22.57228304290987,22.09525924455912,22.436687469482422,737200
2024-10-24 00:00:00+00:00,22.592770696095602,22.826892450487325,22.192812466430457,22.53424072265625,608500
2024-10-25 00:00:00+00:00,22.748851507656138,22.768362118706957,22.251342089665943,22.290363311767578,697600
2024-10-28 00:00:00+00:00,22.534240871681185,22.690322042307873,22.22207853042781,22.631792068481445,440500
2024-10-29 00:00:00+00:00,22.50497456792777,22.67568962455477,22.1245269536387,22.65130043029785,1345900
2024-10-30 00:00:00+00:00,22.622035897447148,23.197585889856192,22.41717820593896,22.836647033691406,503700
2024-10-31 00:00:00+00:00,23.021992532527516,23.021992532527516,22.065994999537644,22.075748443603516,493400
2024-11-01 00:00:00+00:00,22.075749802692734,22.514729238047504,21.929423944452555,21.94893455505371,656200
2024-11-04 00:00:00+00:00,21.861138554885564,22.641544368551955,21.861138554885564,22.378158569335938,589000
2024-11-05 00:00:00+00:00,22.261096250070306,23.046380628444705,22.261096250070306,23.04150390625,382200
2024-11-06 00:00:00+00:00,23.724359359590014,23.929217051134266,23.15856467245169,23.626808166503906,751400
2024-11-07 00:00:00+00:00,23.62680845590701,23.929217344241554,23.23660553941726,23.558523178100586,408100
