"('date', '')","('open', 'CMP')","('high', 'CMP')","('low', 'CMP')","('close', 'CMP')","('volume', 'CMP')"
2003-12-12 00:00:00+00:00,6.530571087923916,7.123346155364097,6.530571087923916,6.907334804534912,5871100
2003-12-15 00:00:00+00:00,6.907334680722931,7.158510487294674,6.907334680722931,7.133392810821533,458500
2003-12-16 00:00:00+00:00,7.083160535277613,7.123348640744946,7.0329251639034425,7.063066482543945,290500
2003-12-17 00:00:00+00:00,7.06306322137314,7.1283685032946735,6.987710199104023,7.108274459838867,301700
2003-12-18 00:00:00+00:00,7.083159232260124,7.1585117963795195,7.032923870127247,7.042971134185791,366900
2003-12-19 00:00:00+00:00,7.04297239479365,7.108277706543373,7.032925128936768,7.032925128936768,85300
2003-12-22 00:00:00+00:00,7.073110078203114,7.073110078203114,6.992733903531682,7.058039665222168,169000
2003-12-23 00:00:00+00:00,7.083161354064942,7.108278563575477,7.037949610417879,7.083161354064941,48700
2003-12-24 00:00:00+00:00,7.0831587969386405,7.233863915915297,7.058041117415901,7.183629035949707,37800
2003-12-26 00:00:00+00:00,7.1685577495158626,7.2589807141074045,7.113298765458987,7.133392810821533,117500
2003-12-29 00:00:00+00:00,7.183628163767814,7.233863037634264,6.987710862173115,7.133392810821533,216100
2003-12-30 00:00:00+00:00,7.233862737972703,7.233862737972703,7.042969554476148,7.047992706298828,94300
2003-12-31 00:00:00+00:00,7.083157685138024,7.208745583959054,7.032922333977686,7.173580646514893,86400
2004-01-02 00:00:00+00:00,7.183631792348362,7.309219759070955,7.183631792348362,7.2338666915893555,147000
2004-01-05 00:00:00+00:00,7.258984380749888,7.258984380749888,7.208749481508895,7.2338666915893555,15600
2004-01-06 00:00:00+00:00,7.213770981769013,7.309218082874487,7.213770981769013,7.304194450378418,184700
2004-01-07 00:00:00+00:00,7.334334194551809,7.3594513934897,7.203722652123385,7.213769435882568,184800
2004-01-08 00:00:00+00:00,7.208746039300502,7.279074960471534,7.10827533063358,7.158510684967041,190200
2004-01-09 00:00:00+00:00,7.208745128607853,7.31926212765192,7.158509780620706,7.284097671508789,652700
2004-01-12 00:00:00+00:00,7.183626977781531,7.20874465010785,7.108273960802571,7.188650608062744,464400
2004-01-13 00:00:00+00:00,7.183624921682803,7.183624921682803,7.032919409939603,7.113295555114746,97800
2004-01-14 00:00:00+00:00,7.133392847112796,7.284098427638525,7.123346063920325,7.258980751037598,91600
2004-01-15 00:00:00+00:00,7.258982139200245,7.269029403393925,7.18865320616418,7.228841304779053,142900
2004-01-16 00:00:00+00:00,7.233862426490762,7.258980100841868,7.153486251831055,7.153486251831055,70800
2004-01-20 00:00:00+00:00,7.183627004328392,7.258979542506062,7.183627004328392,7.203721046447754,54500
2004-01-21 00:00:00+00:00,7.183631148406502,7.223819255828857,7.053019559743832,7.223819255828857,358900
2004-01-22 00:00:00+00:00,7.233862049688854,7.369497196671906,7.188650813107603,7.309215068817139,355400
2004-01-23 00:00:00+00:00,7.30921301264226,7.515177011309024,7.289118975676713,7.47498893737793,237100
2004-01-26 00:00:00+00:00,7.45992466994732,7.7362177858801635,7.319265816327662,7.7111005783081055,142900
2004-01-27 00:00:00+00:00,7.696026981792522,7.9873908950560075,7.685980198100603,7.816591739654541,105100
2004-01-28 00:00:00+00:00,7.826638636694003,7.91203845517145,7.741238818216558,7.891944408416748,35200
2004-01-29 00:00:00+00:00,7.891949603192375,8.138102436814272,7.81157336326693,7.831667423248291,72800
2004-01-30 00:00:00+00:00,7.861801014280049,7.861801014280049,7.660860600010041,7.7864484786987305,74500
2004-02-02 00:00:00+00:00,7.786450409395258,7.81156808717702,7.761332731613495,7.801520824432373,24100
2004-02-03 00:00:00+00:00,7.836685343479799,7.8618025408308325,7.7110974404053145,7.736214637756348,22500
2004-02-04 00:00:00+00:00,7.7613323941285355,7.861802621806995,7.610626813070928,7.685979843139648,47600
2004-02-05 00:00:00+00:00,7.7111013635378916,7.721148151773785,7.645795563224324,7.701054096221924,23000
