"('date', '')","('open', 'BLD')","('high', 'BLD')","('low', 'BLD')","('close', 'BLD')","('volume', 'BLD')"
2024-01-02 00:00:00+00:00,369.0,372.45001220703125,362.6600036621094,369.1099853515625,136800
2024-01-03 00:00:00+00:00,359.2900085449219,359.55999755859375,351.92999267578125,355.3299865722656,261600
2024-01-04 00:00:00+00:00,352.4100036621094,353.95001220703125,345.010009765625,347.5299987792969,384400
2024-01-05 00:00:00+00:00,346.010009765625,354.739990234375,345.3999938964844,351.6099853515625,209100
2024-01-08 00:00:00+00:00,357.6700134277344,359.0,352.7900085449219,357.20001220703125,239600
2024-01-09 00:00:00+00:00,351.6300048828125,358.510009765625,351.6300048828125,358.3900146484375,253600
2024-01-10 00:00:00+00:00,361.9100036621094,366.0450134277344,361.6499938964844,364.7099914550781,222500
2024-01-11 00:00:00+00:00,362.2099914550781,370.2799987792969,359.7699890136719,369.7200012207031,244400
2024-01-12 00:00:00+00:00,373.8399963378906,375.7200012207031,364.07501220703125,365.9800109863281,207200
2024-01-16 00:00:00+00:00,363.1499938964844,368.125,359.3999938964844,367.8800048828125,244700
2024-01-17 00:00:00+00:00,365.010009765625,367.6449890136719,361.7900085449219,364.260009765625,238500
2024-01-18 00:00:00+00:00,369.2300109863281,374.19000244140625,366.9549865722656,371.1300048828125,181000
2024-01-19 00:00:00+00:00,371.82000732421875,376.32000732421875,367.489990234375,373.260009765625,165300
2024-01-22 00:00:00+00:00,377.010009765625,383.2300109863281,376.739990234375,383.04998779296875,273700
2024-01-23 00:00:00+00:00,378.7099914550781,380.4700012207031,366.5899963378906,368.8599853515625,262000
2024-01-24 00:00:00+00:00,373.9100036621094,375.7749938964844,359.2300109863281,361.29998779296875,224700
2024-01-25 00:00:00+00:00,365.7900085449219,369.29998779296875,362.7850036621094,369.19000244140625,234300
2024-01-26 00:00:00+00:00,367.0,372.510009765625,363.8999938964844,366.2300109863281,246900
2024-01-29 00:00:00+00:00,367.32000732421875,375.510009765625,366.489990234375,375.4700012207031,410500
2024-01-30 00:00:00+00:00,373.1199951171875,379.2099914550781,372.79998779296875,374.79998779296875,301800
2024-01-31 00:00:00+00:00,371.6600036621094,380.0,368.42999267578125,369.1300048828125,150000
2024-02-01 00:00:00+00:00,375.1600036621094,379.2300109863281,369.5899963378906,378.2099914550781,181400
2024-02-02 00:00:00+00:00,370.55999755859375,383.3999938964844,370.0400085449219,381.4800109863281,177900
2024-02-05 00:00:00+00:00,376.79998779296875,377.843994140625,365.4679870605469,369.6700134277344,137700
